Pokedex Number,Name,Type 1,Type 2 (If double typed),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
64,Kadabra,Psychic,,190,67,58,220,130,193
65,Alakazam,Psychic,,220,94,85,247,175,220
66,Machop,Fighting,,250,148,94,67,67,67
67,Machoke,Fighting,,270,184,130,94,112,85
68,Machamp,Fighting,,290,238,148,121,157,103
69,Bellsprout,Grass,Poison,210,139,67,130,58,76
70,Weepinbell,Grass,Poison,240,166,94,157,85,103
71,Victreebell,Grass,Poison,270,193,121,184,130,130
72,Tentacool,Water,Poison,190,76,67,94,184,130
73,Tentacruel,Water,Poison,270,130,121,148,220,184
74,Geodude,Rock,Ground,190,148,184,58,58,40
75,Graveler,Rock,Ground,220,175,211,85,85,67
76,Golem,Rock,Ground,270,220,238,103,121,85
77,Ponyta,Fire,,210,157,103,121,121,166
78,Rapidash,Fire,,240,184,130,148,148,193
79,Slowpoke,Water,Psychic,290,121,121,76,76,31
80,Slowbro,Water,Psychic,300,139,202,184,148,58
81,Magnemite,Electric,,160,67,130,175,103,85
82,Magneton,Electric,,210,112,175,220,130,130
83,Farfetch'd,Normal,Flying,214,166,103,108,116,112
84,Doduo,Normal,Flying,180,157,85,67,67,139
85,Dodrio,Normal,Flying,230,202,130,112,112,202
86,Seel,Water,,240,85,103,85,130,85
87,Dewgong,Water,Ice,290,130,148,130,175,130
88,Grimer,Poison,,270,148,94,76,94,49
89,Muk,Poison,,320,193,139,121,184,94
90,Shellder,Water,,170,121,184,85,49,76
91,Cloyster,Water,Ice,210,175,328,157,85,130
92,Gastly,Ghost,Poison,170,67,58,184,67,148
93,Haunter,Ghost,Poison,200,94,85,211,103,175
94,Gengar,Ghost,Poison,230,121,112,238,139,202
95,Onix,Rock,Ground,180,85,292,58,85,130
96,Drowzee,Psychic,,230,90,85,81,166,80
97,Hypno,Psychic,,280,135,130,135,211,125
98,Krabby,Water,,170,193,166,49,49,94
99,Kingler,Water,,220,238,211,94,94,139
100,Voltorb,Electric,,190,58,94,103,103,184
101,Electrode,Electric,,230,94,130,148,148,274
102,Exeggcute,Grass,Psychic,230,76,148,112,85,76
103,Exeggutor,Grass,Psychic,300,175,157,229,139,103
104,Cubone,Ground,,210,94,175,76,94,67
105,Marowak,Ground,,230,148,202,94,148,85
106,Hitmonlee,Fighting,,210,220,99,67,202,161
107,Hitmonchan,Fighting,,210,193,146,67,202,141
108,Lickitung,Normal,,290,103,139,112,139,58
109,Koffing,Poison,,190,121,175,112,85,67
110,Weezing,Poison,,240,166,220,157,130,112
111,Rhyhorn,Ground,Rock,270,157,175,58,58,49
112,Rhydon,Ground,Rock,320,238,220,85,85,76
113,Chansey,Normal,,610,13,13,67,193,94
114,Tangela,Grass,,240,103,211,184,76,112
115,Kangaskhan,Normal,,320,175,148,76,148,166
116,Horsea,Water,,170,76,130,130,49,112
117,Seadra,Water,,220,121,175,175,85,157
118,Goldeen,Water,,200,125,112,67,94,117
119,Seaking,Water,,270,170,121,121,148,126
120,Staryu,Water,,170,85,103,130,103,157
121,Starmie,Water,Psychic,230,139,157,184,157,211
122,Mr Mime,Psychic,,190,85,121,184,220,166
123,Scyther,Bug,Flying,250,202,148,103,148,193
124,Jynx,Ice,Psychic,240,94,67,211,175,175
125,Electabuzz,Electric,,240,153,107,175,157,193
126,Magmar,Fire,,240,175,107,184,157,171
127,Pinsir,Bug,,240,229,184,103,130,157
128,Tauros,Normal,,260,184,175,76,130,202
129,Magikarp,Water,,150,22,103,31,40,148
130,Gyrados,Water,Flying,300,229,146,112,184,150
131,Lapras,Water,Ice,370,157,148,157,175,112
132,Ditto,Normal,,206,90,90,90,90,90
133,Eevee,Normal,,220,103,94,85,121,103
134,Vaporeon,Water,,370,121,112,202,175,121
135,Jolteon,Electric,,240,121,112,202,175,238
136,Flareon,Fire,,240,238,112,175,202,121
137,Porygon,Normal,,240,112,130,157,139,76
138,Omanyte,Rock,Water,180,76,184,166,103,67
139,Omastar,Rock,Water,250,112,229,211,130,103
140,Kabuto,Rock,Water,170,148,166,103,85,103
141,Kabutops,Rock,Water,230,211,193,121,130,148
142,Aerodactyl,Rock,Flying,270,193,121,112,139,238
143,Snorlax,Normal,,430,202,121,121,202,58
144,Articuno,Ice,Flying,290,157,184,175,229,157
145,Zapdos,Electric,Flying,290,166,157,229,166,184
146,Moltres,Fire,Flying,290,184,166,229,157,166
147,Dratini,Dragon,,192,119,85,94,94,94
148,Dragonair,Dragon,,232,155,121,130,130,130
149,Dragonite,Dragon,Flying,292,245,275,184,184,148
150,Mewtwo,Psychic,,322,202,166,281,166,238
151,Mew,Psychic,,310,184,184,184,184,184
